№;x2;x1;x2-x1;y2;y1;y2-y1;a_i = dy/dx
1;0.380000;0.300000;0.080000;-5.060610;-8.750810;3.690200;46.127500
2;0.390000;0.310000;0.080000;-4.881800;-8.057660;3.175860;39.698250
3;0.400000;0.320000;0.080000;-4.592750;-7.404790;2.812040;35.150500
4;0.410000;0.330000;0.080000;-4.380690;-7.031810;2.651120;33.139000
5;0.420000;0.340000;0.080000;-4.164770;-6.589300;2.424530;30.306625
6;0.430000;0.350000;0.080000;-4.033250;-6.146170;2.112920;26.411500
7;0.440000;0.360000;0.080000;-3.951110;-5.645510;1.694400;21.180000
8;0.450000;0.370000;0.080000;-3.859270;-5.385330;1.526060;19.075750

1;0.380000;0.300000;0.080000;-5.193960;-8.862030;3.668070;45.850875
2;0.390000;0.310000;0.080000;-4.906280;-8.327950;3.421670;42.770875
3;0.400000;0.320000;0.080000;-4.679530;-7.687910;3.008380;37.604750
4;0.410000;0.330000;0.080000;-4.441070;-7.050860;2.609790;32.622375
5;0.420000;0.340000;0.080000;-4.251580;-6.739420;2.487840;31.098000
6;0.430000;0.350000;0.080000;-4.104900;-6.210450;2.105550;26.319375
7;0.440000;0.360000;0.080000;-3.973900;-5.809140;1.835240;22.940500
8;0.450000;0.370000;0.080000;-3.883270;-5.511100;1.627830;20.347875

Отклонения и квадраты отклонений
№;a_i;a_i - a?;(a_i - a?)^2
1;46.127500;14.741359;217.307676
2;39.698250;8.312109;69.091162
3;35.150500;3.764359;14.170402
4;33.139000;1.752859;3.072516
5;30.306625;-1.079516;1.165354
6;26.411500;-4.974641;24.747049
7;21.180000;-10.206141;104.165306
8;19.075750;-12.310391;151.545717

1;45.850875;13.406547;179.735499
2;42.770875;10.326547;106.637570
3;37.604750;5.160422;26.629954
4;32.622375;0.178047;0.031701
5;31.098000;-1.346328;1.812599
6;26.319375;-6.124953;37.515051
7;22.940500;-9.503828;90.322749
8;20.347875;-12.096453;146.324178


Итоги грубых;
Средний наклон (a?);31.386141
Сумма (a_i - a?)^2;585.265183
Стандартное отклонение;9.143813
Стандартная ошибка;3.232826
95% доверительный интервал;23.741800;39.030481
e/k;9321.683766
Погрешность e/k;2270.369091

Итоги точных;
Средний наклон (a?);32.444328
Сумма (a_i - a?)^2;589.009302
Стандартное отклонение;9.173014
Стандартная ошибка;3.243150
95% доверительный интервал;24.775575;40.113081
e/k;9635.965453
Погрешность e/k;2277.619632
